delivery_id,date,day_of_week,month,city_zone,time_window,weather,attempt_number,driver_experience_yrs,package_count,weight_kg,distance_km,stops_before_this,traffic_index,delivery_success,delay_minutes
DLV-00001,2024-04-12,Friday,4,urban_inner,afternoon_12_17,cloudy,2,2.3,10,20.38,9.74,24,3.3,1,29.0
DLV-00002,2024-12-14,Saturday,12,urban_inner,afternoon_12_17,clear,1,3.2,1,0.75,3.87,33,5.0,0,
DLV-00003,2024-09-27,Friday,9,rural,afternoon_12_17,rain,2,7.1,6,12.66,32.02,8,1.9,1,21.1
DLV-00004,2024-04-16,Tuesday,4,urban_core,afternoon_12_17,clear,1,15.0,1,1.36,4.35,35,5.3,1,14.7
DLV-00005,2024-03-12,Tuesday,3,urban_core,afternoon_12_17,clear,1,3.7,4,6.2,0.5,30,8.3,1,28.9
DLV-00006,2024-07-07,Sunday,7,urban_core,anytime,snow,1,7.9,7,19.52,6.29,18,8.5,0,
DLV-00007,2024-01-21,Sunday,1,urban_core,morning_08_12,clear,3,5.9,2,2.54,3.7,0,5.9,1,19.2
DLV-00008,2024-04-12,Friday,4,urban_core,afternoon_12_17,clear,1,1.0,3,5.86,10.01,23,5.9,0,
DLV-00009,2024-05-01,Wednesday,5,suburban,afternoon_12_17,snow,1,8.1,4,5.13,18.79,33,4.1,1,39.0
DLV-00010,2024-08-02,Friday,8,urban_core,afternoon_12_17,snow,2,0.5,6,3.33,7.16,16,9.7,0,
DLV-00011,2024-11-26,Tuesday,11,urban_core,morning_08_12,clear,1,1.2,9,13.72,4.14,33,6.6,1,30.4
DLV-00012,2024-03-28,Thursday,3,suburban,morning_08_12,rain,2,3.1,4,7.65,13.32,34,4.9,0,
DLV-00013,2024-04-09,Tuesday,4,urban_inner,morning_08_12,clear,2,2.2,6,8.4,11.81,35,5.8,1,30.1
DLV-00014,2024-12-25,Wednesday,12,urban_inner,anytime,clear,3,2.3,7,9.48,10.52,12,5.9,0,
DLV-00015,2024-05-31,Friday,5,urban_core,evening_17_21,clear,1,4.8,4,10.06,1.73,24,6.9,1,33.8
DLV-00016,2024-05-10,Friday,5,rural,afternoon_12_17,clear,1,0.6,6,2.28,27.69,11,3.2,1,13.8
DLV-00017,2024-05-29,Wednesday,5,urban_core,evening_17_21,clear,2,12.1,3,3.29,6.28,20,10.0,1,30.4
DLV-00018,2024-11-04,Monday,11,rural,morning_08_12,clear,1,1.7,5,12.46,23.22,36,3.1,1,20.5
DLV-00019,2024-09-14,Saturday,9,suburban,evening_17_21,rain,1,9.0,11,30.64,9.48,37,1.7,1,29.3
DLV-00020,2024-12-09,Monday,12,urban_core,afternoon_12_17,cloudy,1,1.4,10,14.13,11.81,0,6.8,1,18.3
DLV-00021,2024-10-20,Sunday,10,rural,afternoon_12_17,rain,1,2.8,4,10.8,27.08,5,1.0,0,
DLV-00022,2024-07-10,Wednesday,7,urban_core,evening_17_21,cloudy,2,1.8,7,5.86,1.23,10,10.0,1,36.9
DLV-00023,2024-10-03,Thursday,10,urban_core,evening_17_21,clear,1,3.4,6,5.39,2.42,15,7.7,1,20.8
DLV-00024,2024-06-09,Sunday,6,suburban,evening_17_21,snow,1,0.6,7,18.09,14.98,21,2.3,1,40.8
DLV-00025,2024-11-09,Saturday,11,suburban,morning_08_12,rain,1,1.5,6,16.43,16.39,10,3.9,1,30.1
DLV-00026,2024-01-22,Monday,1,suburban,anytime,clear,1,0.5,2,1.8,12.02,36,6.3,0,
DLV-00027,2024-09-09,Monday,9,urban_core,anytime,clear,1,2.7,7,3.22,0.91,25,5.9,1,30.4
DLV-00028,2024-08-23,Friday,8,urban_inner,afternoon_12_17,cloudy,2,9.9,8,4.35,10.61,25,4.9,1,35.0
DLV-00029,2024-12-10,Tuesday,12,suburban,morning_08_12,cloudy,1,0.5,7,7.04,11.17,20,1.7,0,
DLV-00030,2024-02-18,Sunday,2,urban_core,morning_08_12,rain,1,3.2,4,9.42,3.74,25,8.1,0,
DLV-00031,2024-02-28,Wednesday,2,urban_core,anytime,clear,2,4.5,4,6.71,6.51,14,7.0,1,21.7
DLV-00032,2024-06-18,Tuesday,6,urban_core,afternoon_12_17,clear,1,0.7,5,7.65,3.04,38,4.0,0,
DLV-00033,2024-07-06,Saturday,7,urban_core,afternoon_12_17,cloudy,1,1.0,9,16.89,10.52,34,7.7,1,32.1
DLV-00034,2024-09-27,Friday,9,rural,morning_08_12,cloudy,3,0.7,5,13.52,25.44,10,3.2,1,22.6
DLV-00035,2024-07-08,Monday,7,urban_inner,morning_08_12,clear,1,1.1,2,1.09,6.9,8,5.0,1,14.4
DLV-00036,2024-06-23,Sunday,6,rural,afternoon_12_17,clear,2,0.5,5,10.88,26.81,22,1.7,1,22.3
DLV-00037,2024-02-20,Tuesday,2,urban_inner,afternoon_12_17,cloudy,2,1.4,3,8.41,6.09,3,5.5,1,20.0
DLV-00038,2024-12-29,Sunday,12,suburban,anytime,cloudy,2,1.4,10,8.76,17.25,29,4.5,0,
DLV-00039,2024-02-24,Saturday,2,urban_core,afternoon_12_17,clear,2,4.9,8,20.5,3.45,27,4.7,0,
DLV-00040,2024-08-31,Saturday,8,urban_inner,evening_17_21,clear,1,4.8,10,21.85,16.56,24,4.8,1,19.3
DLV-00041,2024-11-15,Friday,11,urban_core,morning_08_12,rain,2,4.8,10,3.39,4.8,21,6.7,0,
DLV-00042,2024-05-10,Friday,5,urban_core,morning_08_12,snow,2,2.5,2,1.85,5.16,24,8.4,0,
DLV-00043,2024-11-02,Saturday,11,urban_inner,afternoon_12_17,clear,1,1.2,11,21.29,3.3,25,5.8,1,16.0
DLV-00044,2024-05-14,Tuesday,5,rural,afternoon_12_17,clear,1,1.6,4,6.63,26.26,28,1.0,0,
DLV-00045,2024-01-21,Sunday,1,suburban,morning_08_12,snow,2,1.1,5,8.63,16.05,31,2.6,1,37.9
DLV-00046,2024-11-24,Sunday,11,urban_core,anytime,clear,1,2.6,4,3.7,6.14,25,9.1,0,
DLV-00047,2024-06-15,Saturday,6,urban_core,afternoon_12_17,cloudy,2,8.3,5,10.61,1.32,27,5.2,0,
DLV-00048,2024-09-30,Monday,9,urban_core,morning_08_12,cloudy,1,1.0,10,10.19,3.12,19,8.7,1,30.9
DLV-00049,2024-03-29,Friday,3,urban_inner,morning_08_12,clear,1,1.8,11,14.87,1.64,1,7.2,0,
DLV-00050,2024-11-11,Monday,11,suburban,morning_08_12,cloudy,1,3.2,4,5.18,11.63,22,5.3,1,22.9
DLV-00051,2024-01-14,Sunday,1,rural,anytime,cloudy,1,5.6,3,6.34,33.18,38,3.4,1,26.2
DLV-00052,2024-08-29,Thursday,8,urban_core,morning_08_12,cloudy,1,0.9,1,0.54,5.2,4,9.2,1,25.0
DLV-00053,2024-09-21,Saturday,9,urban_inner,afternoon_12_17,clear,1,1.0,4,3.42,11.37,20,3.1,1,10.3
DLV-00054,2024-12-11,Wednesday,12,urban_inner,afternoon_12_17,snow,1,6.5,9,7.57,2.95,21,7.8,1,56.3
DLV-00055,2024-02-22,Thursday,2,suburban,morning_08_12,clear,1,0.5,1,0.59,14.29,10,4.2,0,
DLV-00056,2024-12-05,Thursday,12,urban_inner,morning_08_12,cloudy,1,2.8,7,6.02,7.65,29,4.9,1,26.1
DLV-00057,2024-04-01,Monday,4,suburban,morning_08_12,rain,2,5.9,3,5.82,12.13,27,1.7,1,29.7
DLV-00058,2024-09-20,Friday,9,suburban,afternoon_12_17,clear,1,7.6,8,18.21,13.31,35,3.5,0,
DLV-00059,2024-02-04,Sunday,2,urban_core,morning_08_12,rain,1,0.5,6,12.5,2.92,16,10.0,1,41.9
DLV-00060,2024-07-24,Wednesday,7,suburban,morning_08_12,snow,1,1.4,1,1.58,10.5,20,4.3,1,38.6
DLV-00061,2024-03-21,Thursday,3,urban_core,evening_17_21,clear,1,0.9,10,4.42,4.9,36,6.5,1,38.5
DLV-00062,2024-02-19,Monday,2,suburban,morning_08_12,clear,1,2.5,5,14.45,16.62,35,7.1,0,
DLV-00063,2024-12-25,Wednesday,12,urban_inner,evening_17_21,rain,1,3.0,8,6.03,5.65,24,6.8,0,
DLV-00064,2024-01-02,Tuesday,1,urban_inner,evening_17_21,clear,1,20.0,11,23.15,5.79,23,6.8,0,
DLV-00065,2024-02-23,Friday,2,rural,afternoon_12_17,clear,1,2.2,3,8.29,30.42,29,2.2,0,
DLV-00066,2024-04-15,Monday,4,rural,afternoon_12_17,rain,1,2.4,4,8.74,28.15,34,2.6,0,
DLV-00067,2024-09-16,Monday,9,suburban,morning_08_12,rain,3,1.6,7,6.22,12.95,20,1.0,1,27.6
DLV-00068,2024-11-05,Tuesday,11,urban_inner,evening_17_21,snow,1,0.5,11,12.68,8.3,5,6.0,1,39.2
DLV-00069,2024-07-09,Tuesday,7,suburban,afternoon_12_17,clear,2,1.1,6,2.29,20.18,20,4.7,0,
DLV-00070,2024-08-05,Monday,8,urban_inner,afternoon_12_17,clear,1,0.9,7,13.68,11.45,7,8.2,1,27.3
DLV-00071,2024-02-13,Tuesday,2,rural,morning_08_12,clear,1,4.8,9,17.6,33.17,4,5.2,1,19.1
DLV-00072,2024-06-10,Monday,6,urban_inner,anytime,cloudy,1,2.4,9,20.33,10.21,39,7.5,1,38.7
